serial_number,fold,true_biotreat,predicted_biotreat,confidence,served_population,population_bucket,N2O_true_EF,N2O_pred_EF_mean,N2O_pred_EF_p2.5,N2O_pred_EF_p97.5,CH4_true_EF,CH4_pred_EF_mean,CH4_pred_EF_p2.5,CH4_pred_EF_p97.5
9460,1,TF,A2O,0.211365203205496,35500.0,large: 10000+,0.0923952398300473,0.7124020457267761,0.13471011817455292,1.6885242462158203,0.03271917119861291,0.02172994241118431,0.00842161662876606,0.04177332669496536
9463,1,TF,SBR,0.2661853047758341,17500.0,large: 10000+,0.0923952398300473,0.7954245209693909,0.1361788958311081,2.0215132236480713,0.03271917119861291,0.02177387662231922,0.008263465948402882,0.04005943238735199
9494,1,OD,A2O,0.2848366424962878,86500.0,large: 10000+,0.1650154106879044,0.6584045886993408,0.11991962790489197,1.5804942846298218,0.02294083003071408,0.02183930017054081,0.007755356840789318,0.04590221494436264
9503,1,OD,OD,0.5643798895776272,236500.0,large: 10000+,0.1650154106879044,0.5137251019477844,0.09335297346115112,1.285060167312622,0.02294083003071408,0.023273799568414688,0.00718268845230341,0.05753984674811363
9525,1,OD,OD,0.3486941924244165,34500.0,large: 10000+,0.1650154106879044,0.7542597651481628,0.13564042747020721,1.8970625400543213,0.02294083003071408,0.022982178255915642,0.007609434425830841,0.048958707600831985
9533,1,A2O,OD,0.6342536790519953,370000.0,large: 10000+,0.7608954837154249,0.4145779311656952,0.07842613011598587,1.096404790878296,0.021417300864190157,0.023332946002483368,0.006113076116889715,0.06307754665613174
9547,1,SBR,AO,0.2607539283409715,33500.0,large: 10000+,1.8718395132955983,0.7842234373092651,0.12395377457141876,1.9797627925872803,0.016693715234024208,0.020897982642054558,0.006815813947468996,0.04240726679563522
9554,1,AO,OD,0.3797042562328279,585500.0,large: 10000+,0.45442625910922374,0.560491144657135,0.09737276285886765,1.4402052164077759,0.0169423506541553,0.02171815186738968,0.006549236364662647,0.05080375447869301
9577,1,AO,OD,0.2822475220672786,11500.0,large: 10000+,0.45442625910922374,0.6372250318527222,0.13118965923786163,1.604538917541504,0.0169423506541553,0.02217932417988777,0.007971702143549919,0.044676098972558975
9585,1,OD,SBR,0.4304361053779721,41000.0,large: 10000+,0.1650154106879044,0.9362257719039917,0.1227768063545227,2.6961405277252197,0.02294083003071408,0.021139852702617645,0.006546833552420139,0.0475480780005455
